"Field_ID","Crop_ID_1","Crop_ID_2","Crop_ID_3","Crop_ID_4","Crop_ID_5","Crop_ID_6","Crop_ID_7"
3,0.0120078762993217,0.982237756252289,0.00263712997548282,0.00162018765695393,0.0000224659270315897,0.000812847283668816,0.000661744852550328
6,0.00197014515288174,0.996922552585602,0.0000721873875590973,0.000608097645454109,0.000253239588346332,0.000167953912750818,0.00000577708124183118
11,0.0423649288713932,0.870686948299408,0.000110023574961815,0.080320231616497,0.00401320587843657,0.00120530987624079,0.00129938370082527
13,0.161858946084976,0.743111431598663,0.0174566246569157,0.0506097935140133,0.00144115940202028,0.0235413033515215,0.00198073359206319
14,0.03719786927104,0.892050206661224,0.0302460808306932,0.00886319391429424,0.0102506596595049,0.000197393470443785,0.0211945958435535
18,0.0121898036450148,0.0931950509548187,0.00182105542626232,0.0645502805709839,0.810599327087402,0.00453538028523326,0.0131091037765145
19,0.0766327157616615,0.805547058582306,0.0292834006249905,0.0213949643075466,0.0651205778121948,0.00111166702117771,0.000909570488147438
23,0.475650429725647,0.48052105307579,0.00418765936046839,0.0353565216064453,0.00194048637058586,0.00233604828827083,0.00000774441014073091
24,0.227117657661438,0.227916941046715,0.000765347911510617,0.351086735725403,0.180736631155014,0.00888303574174643,0.00349363102577627
25,0.0441382974386215,0.242351368069649,0.00273072626441717,0.634248435497284,0.0175136215984821,0.0587889738380909,0.000228600125410594
28,0.356870979070663,0.609152436256409,0.000951150082983077,0.0290014818310738,0.00247843260876834,0.00151311221998185,0.0000323549247696064
29,0.0265007801353931,0.956159234046936,0.00157111790031195,0.0111182872205973,0.00308330543339252,0.00154756696429104,0.0000196577948372578
30,0.256713509559631,0.640302658081055,0.000306748755974695,0.0833970978856087,0.0152102373540401,0.00401749880984426,0.0000521961228514556
40,0.414152920246124,0.0366086922585964,0.00217907363548875,0.487486720085144,0.0590025186538696,0.000567398383282125,0.0000026713960323832
43,0.201076462864876,0.340105533599854,0.0611603185534477,0.251711010932922,0.0658393949270248,0.0633113607764244,0.0167959108948708
49,0.913127064704895,0.0437142252922058,0.0000588685943512246,0.0200903471559286,0.0190166644752026,0.00359245156869292,0.000400393706513569
53,0.101639062166214,0.331779152154922,0.482027232646942,0.0373754575848579,0.00708757434040308,0.00185624335426837,0.0382353253662586
55,0.34718981385231,0.132342398166656,0.0664089843630791,0.275912910699844,0.015929002314806,0.00556857790797949,0.156648337841034
56,0.0419757179915905,0.0389325134456158,0.430010497570038,0.336165815591812,0.000331164366798475,0.000226773729082197,0.152357518672943
57,0.0758926346898079,0.101032488048077,0.0374050885438919,0.302499443292618,0.0139149399474263,0.000151698099216446,0.469103753566742
59,0.0605137161910534,0.825888872146606,0.00451008789241314,0.0310737583786249,0.0502434708178043,0.0242689326405525,0.00350114936009049
61,0.22174845635891,0.761670410633087,0.000196206965483725,0.0139776272699237,0.000292573153274134,0.00210900721140206,0.00000574935302211088
63,0.0719408467411995,0.798352718353271,0.0014227838255465,0.0733155831694603,0.0364296920597553,0.0183948036283255,0.000143588811624795
